web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120257-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg","Gorée, Dakar, Sénégal","Prix sur demande","Chatons"
"1765120257-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg","Mbour, Sénégal","100 000CFA","Oie"
"1765120257-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg","Kaffrine, Sénégal","Prix sur demande","Oiseau Maknol"
"1765120257-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg","Diourbel, Sénégal","80 000CFA","Oies"
"1765120257-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg","Saint Louis, Sénégal","Prix sur demande","Vaches hollandaises"
"1765120257-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg","Mboro, Sénégal","1 200 000CFA","Géniteur hollandais Holstein"
"1765120257-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg","Mbour, Sénégal","Prix sur demande","Dindes"
"1765120257-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg","Hann Bel-Air, Dakar, Sénégal","Prix sur demande","Souris blanc"
"1765120257-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg","Keur Massar, Sénégal","250 000CFA","Couples Paons"
"1765120257-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","150 000CFA","Chat blanc turc"
"1765120257-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg","Dakar, Sénégal","20 000CFA","Dinde"
"1765120257-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg","Yoff, Dakar, Sénégal","90 000CFA","Kittens / chatons"
"1765120257-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg","Point E, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg","Medina, Dakar, Sénégal","130 000CFA","Oies"
"1765120257-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg","Dakar, Sénégal","Prix sur demande","Vache"
"1765120257-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg","Dakar, Sénégal","1 000CFA","Oies"
