web_scraper_order,web_scraper_start_url,conteani,price,image,data4,data6,data7
"1765118220-1","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png","Thies, Sénégal","200 000CFA","Berger blanc"
"1765118220-2","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png","Grand Yoff, Dakar, Sénégal","125 000CFA","Chiots Berger Allemand de race pure"
"1765118220-3","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png","Dakar Plateau, Dakar, Sénégal","90 000CFA","Pitbull"
"1765118220-4","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1123229_uploaded_image1_1572285379.45.png","Parcelle Assainies, Dakar, Sénégal","350 000CFA","Chiots Berger Allemand"
"1765118220-5","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png","Dieuppeul-Derklé, Dakar, Sénégal","375 000CFA","Chien Rottweiler"
"1765118220-6","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png","Patte d'oie, Dakar, Sénégal","200 000CFA","Chiot berger allemand"
"1765118220-7","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png","Fann, Dakar, Sénégal","Prix sur demande","Chiot akita américain"
"1765118220-8","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png","Les Parcelles Assainies, Dakar, Sénégal","350 000CFA","Chiots"
"1765118220-9","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png","Mermoz-Sacré Coeur, Dakar, Sénégal","400 000CFA","Boerboel femelle"
"1765118220-10","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png","Fann, Dakar, Sénégal","800 000CFA","Chiot Cane Corso"
"1765118220-11","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png","Mermoz-Sacré Coeur, Dakar, Sénégal","250 000CFA","Pitbull black nose"
"1765118220-12","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png","Dakar, Sénégal","Prix sur demande","Chiots Cane Corso"
"1765118220-13","https://sn.coinafrique.com/categorie/chiens?page=11","","","https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png","Hann Bel-Air, Dakar, Sénégal","200 000CFA","Chien berger allemand à poil long"
