web_scraper_order,web_scraper_start_url,image,location,price,name
"1765119366-1","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_821121_uploaded_image1_1565195094.42.png","Mbour, Sénégal","600 000CFA","Moutons Ladoum"
"1765119366-2","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_817625_uploaded_image1_1565109322.3.png","Guédiawaye, Dakar, Sénégal","125 000CFA","Mouton"
"1765119366-3","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_816772_uploaded_image1_1565095331.9.png","Sénégal","200 000CFA","Moutons"
"1765119366-4","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_816757_uploaded_image1_1565095118.35.png","Sénégal","450 000CFA","Mouton"
"1765119366-5","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_814608_uploaded_image1_1565037403.53.png","Sénégal","200 000CFA","Mouton de Tabaski"
"1765119366-6","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_813350_uploaded_image1_1565013886.42.png","Sénégal","100 000CFA","Mouton"
"1765119366-7","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_813339_uploaded_image1_1565013644.12.png","Sénégal","200 000CFA","Mouton"
"1765119366-8","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_812873_uploaded_image1_1565005940.44.png","Les Parcelles Assainies, Dakar, Sénégal","200 000CFA","Mouton"
"1765119366-9","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_811661_uploaded_image1_1564966582.22.png","Dakar, Sénégal","500 000CFA","Moutons"
"1765119366-10","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_811659_uploaded_image1_1564966498.04.png","Dakar, Sénégal","700 000CFA","Moutons"
"1765119366-11","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_811594_uploaded_image1_1564961187.75.png","Sénégal","200 000CFA","Moutons"
"1765119366-12","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_808861_uploaded_image1_1564856185.45.png","Dakar, Sénégal","650 000CFA","Moutons"
"1765119366-13","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_808847_uploaded_image1_1564855996.2.png","Dakar, Sénégal","700 000CFA","Moutons"
"1765119366-14","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_808844_uploaded_image1_1564855896.73.png","Dakar, Sénégal","700 000CFA","Moutons"
"1765119366-15","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_806719_uploaded_image1_1564781347.58.png","Sénégal","350 000CFA","Mouton de race"
"1765119366-16","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_806646_uploaded_image1_1564777404.89.png","Sénégal","400 000CFA","Mouton"
"1765119366-17","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_805188_uploaded_image1_1564750708.3.png","Guediawaye, Dakar, Sénégal","250 000CFA","Mouton"
"1765119366-18","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_804227_uploaded_image1_1564738205.66.png","Diamniadio, Sénégal","200 000CFA","Moutons"
"1765119366-19","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_803088_uploaded_image1_1564684268.56.png","Dakar, Sénégal","300 000CFA","Mouton"
"1765119366-20","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_799765_uploaded_image1_1564597010.71.png","Guediawaye, Dakar, Sénégal","200 000CFA","Mouton de Tabaski"
"1765119366-21","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_799761_uploaded_image1_1564596876.58.png","Guediawaye, Dakar, Sénégal","225 000CFA","Mouton de Tabaski"
"1765119366-22","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_798367_uploaded_image1_1564573411.3.png","Dakar, Sénégal","175 000CFA","Mouton Azawat"
"1765119366-23","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_786617_uploaded_image1_1564216906.07.png","Dakar, Sénégal","Prix sur demande","Mouton Ladoum"
"1765119366-24","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_785715_uploaded_image1_1564176313.33.png","Dakar, Sénégal","Prix sur demande","Moutons de Tabaski"
"1765119366-25","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_785089_uploaded_image1_1564159860.27.png","Dieuppeul-Derklé, Dakar, Sénégal","200 000CFA","Mouton"
"1765119366-26","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_784942_uploaded_image1_1564157496.5.png","Sénégal","Prix sur demande","Mouton Tabaski"
"1765119366-27","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_784546_uploaded_image1_1564151388.91.png","Grand Yoff, Dakar, Sénégal","200 000CFA","Moutons Ladoum"
"1765119366-28","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_774363_uploaded_image1_1563912507.32.png","Dakar, Sénégal","220 000CFA","Mouton"
"1765119366-29","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_774349_uploaded_image1_1563912073.63.png","Keur Massar, Sénégal","220 000CFA","Mouton - Bélier"
"1765119366-30","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_afrikannonce_932560_uploaded_image1_1568203329.3.jpg","Sénégal","950 000CFA","Mouton Ladoum"
"1765119366-31","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_769625_uploaded_image1_1563810689.31.png","Guediawaye, Dakar, Sénégal","Prix sur demande","Mouton"
"1765119366-32","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_769623_uploaded_image1_1563810688.43.png","Guediawaye, Dakar, Sénégal","Prix sur demande","Mouton"
"1765119366-33","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_766916_uploaded_image1_1563732550.35.png","Dakar, Sénégal","300 000CFA","Mouton"
"1765119366-34","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_766905_uploaded_image1_1563732059.09.png","Sénégal","250 000CFA","Mouton"
"1765119366-35","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_766836_uploaded_image1_1563729305.46.png","Dakar-Plateau, Dakar, Sénégal","250 000CFA","Mouton"
"1765119366-36","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_766814_uploaded_image1_1563728621.09.png","Dakar-Plateau, Dakar, Sénégal","250 000CFA","Moutons"
"1765119366-37","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_766491_uploaded_image1_1563713033.52.png","Dakar, Sénégal","420 000CFA","Mouton Ladoum"
"1765119366-38","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_765218_uploaded_image1_1563649515.86.png","Guediawaye, Dakar, Sénégal","450 000CFA","Mouton Ladoum"
"1765119366-39","https://sn.coinafrique.com/categorie/moutons?page=16","https://images.coinafrique.com/thumb_761777_uploaded_image1_1563546210.72.png","Grand Dakar, Dakar, Sénégal","Prix sur demande","Mouton Malaw"
