web_scraper_order,web_scraper_start_url,image,location,price,name
"1765119914-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","10 000CFA","Pigeon fauve"
"1765119914-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png","Dakar, Sénégal","20 000CFA","Pigeon à queue de paon indien"
"1765119914-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png","Pikine, Sénégal","60 000CFA","Pigeons"
"1765119914-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png","Les Parcelles Assainies, Dakar, Sénégal","20 000CFA","Jeune femelle  lavande"
"1765119914-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png","Sénégal","Prix sur demande","Poussin - 1 jour"
"1765119914-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","30 000CFA","Lawar"
"1765119914-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","25 000CFA","Maton"
"1765119914-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png","Patte d'oie, Dakar, Sénégal","Prix sur demande","Poulets Guinars tiirr"
"1765119914-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png","Fatick, Sénégal","Prix sur demande","Pigeons"
"1765119914-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png","Sénégal","25 000CFA","Bleu hollandais"
"1765119914-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png","Cambérène, Dakar, Sénégal","50 000CFA","Couple pigeons cravatés français"
"1765119914-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png","Diourbel, Sénégal","Prix sur demande","Pigeon links"
"1765119914-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png","Mermoz-Sacré Coeur, Dakar, Sénégal","35 000CFA","Lapin géant des Flandres"
"1765119914-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png","Hann Bel-Air, Dakar, Sénégal","75 000CFA","Perroquet"
"1765119914-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png","Yoff, Dakar, Sénégal","45 000CFA","Lapin géant"
"1765119914-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","15 000CFA","Lapin angora californien"
"1765119914-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png","Grand Yoff, Dakar, Sénégal","20 000CFA","Pigeon voyageur"
"1765119914-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png","Grand Yoff, Dakar, Sénégal","25 000CFA","Pigeon voyageur"
"1765119914-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png","Grand Yoff, Dakar, Sénégal","20 000CFA","Pigeon voyageur"
"1765119914-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png","Hann Bel-Air, Dakar, Sénégal","15 000CFA","Bleus d'hollande"
"1765119914-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png","Hann Bel-Air, Dakar, Sénégal","35 000CFA","Brahmane poules"
"1765119914-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png","Médina, Dakar, Sénégal","11 000CFA","Lapins angora californien"
"1765119914-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png","Sénégal","7 000CFA","Poules"
"1765119914-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png","Guediawaye, Dakar, Sénégal","30 000CFA","Paons Pigeons"
"1765119914-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png","Sénégal","Prix sur demande","Poulet - Pigeon  - Lapin"
"1765119914-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png","Dieuppeul-Derklé, Dakar, Sénégal","7 000CFA","Bouldolande"
"1765119914-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png","Keur Massar, Sénégal","8 000CFA","Poussins Bantam"
"1765119914-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png","Pikine, Sénégal","Prix sur demande","Poulet de chair"
"1765119914-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png","Dakar, Sénégal","30 000CFA","Femelle Cochin bleu"
"1765119914-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png","Dakar, Sénégal","15 000CFA","Barahmane"
"1765119914-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png","Dakar, Sénégal","15 000CFA","Poussins bantam"
"1765119914-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png","Dakar, Sénégal","30 000CFA","Coq"
"1765119914-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png","Sénégal","2 500CFA","Poulet de chair"
"1765119914-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png","Sénégal","800CFA","Coqs et poussins"
"1765119914-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png","Dakar, Sénégal","2 500CFA","Poulet de chair"
"1765119914-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png","Médina, Dakar, Sénégal","10 000CFA","Lapin nain noir adulte"
"1765119914-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png","Médina, Dakar, Sénégal","70 000CFA","Femelle GDF 4 mois"
